Noodle Cafe	233 Peachtree St # B70, Atlanta, GA 30303	Thai		4.2	https://www.google.com/maps/place/Noodle+Cafe/@33.7630238,-84.3639471,15z/data=!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f5047831dfc86d:0x985e3a6645f5ca4f!8m2!3d33.7604039!4d-84.386319!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEPdGhhaV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJKWnpabFZFSkJFQUU
Satto Thai and Sushi Bar	768 Marietta St NW suite a, Atlanta, GA 30318	Thai	$$	4.3	https://www.google.com/maps/place/Satto+Thai+and+Sushi+Bar/@33.773186,-84.4125757,15z/data=!3m1!5s0x88f5048effc4cfd5:0xbd99e4277f765534!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f5048efff3f463:0x85d75e95eb04e77d!8m2!3d33.773186!4d-84.403821!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEPdGhhaV9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5WZUdSMU5HNVJSUkFC
Surin of Thailand	810 North Highland Avenue Northeast, Atlanta, GA 30306	Thai	$$	4.4	https://www.google.com/maps/place/Surin+of+Thailand/@33.7765778,-84.3614397,15z/data=!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f506a05ebf3b6b:0xfb226dfc1712b3ab!8m2!3d33.7765778!4d-84.352685!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEPdGhhaV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5OY1daMmJXRm5FQUU
Thai 5 & Sushi Bar	1148 Euclid Ave NE #1939, Atlanta, GA 30307	Thai	$$	4.3	https://www.google.com/maps/place/Thai+5+%26+Sushi+Bar/@33.7650753,-84.3586669,15z/data=!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f506a926d8ad7b:0xa6e85b1226ff1bed!8m2!3d33.7650753!4d-84.3499122!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEPdGhhaV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVIzTFhKRFZsVlJFQUU
26 Thai Kitchen & Bar (Midtown)	824 Juniper St NE, Atlanta, GA 30308	Thai	$$	4.6	https://www.google.com/maps/place/26+Thai+Kitchen+%26+Bar+(Midtown)/@33.7650753,-84.3586669,15z/data=!3m1!5s0x88f504691d4e6497:0x487a73f7dfe0c51e!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f5056c59bffd07:0x4e381823147d9b55!8m2!3d33.7770396!4d-84.3830561!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTGVUUjZUSEpuUlJBQg
Nan Thai Fine Dining	1350 Spring St NW #1, Atlanta, GA 30309	Thai	$$$	4.7	https://www.google.com/maps/place/Nan+Thai+Fine+Dining/@33.791638,-84.3982427,15z/data=!3m1!5s0x88f5045a0cbf5fcf:0x5cb200ae9410e9f6!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f5045a73e78fcf:0x834a85fab46c28c6!8m2!3d33.791638!4d-84.389488!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEPdGhhaV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJaY25KNWEwcDNFQUU
Pacific Rim Bistro	303 Peachtree Center Ave NE, Atlanta, GA 30303	Thai	$$	4.3	https://www.google.com/maps/place/Pacific+Rim+Bistro/@33.7625246,-84.3946605,15z/data=!3m1!5s0x88f5047768905eed:0xb44d83e6dbc5f051!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f50479e05ea211:0x6741cf285cf2020b!8m2!3d33.762501!4d-84.3858995!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEQc3VzaGlfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VObk1DMTFkRVIzRUFF
Bangkok Thai Restaurant	1492 Piedmont Ave NE, Atlanta, GA 30309	Thai	$$	4.4	https://www.google.com/maps/place/Bangkok+Thai+Restaurant/@33.7957003,-84.3795758,15z/data=!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f50436a4f81dc5:0x3b9114165b4096d3!8m2!3d33.7957003!4d-84.3708211!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEPdGhhaV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ2TXpVMlZHUkJFQUU
Mali Restaurant	961 Amsterdam Ave NE, Atlanta, GA 30306	Thai	$$	4.4	https://www.google.com/maps/place/Mali+Restaurant/@33.7957003,-84.3795758,15z/data=!3m1!5s0x88f504270b66d4df:0x63b7c4a00bb1e9dc!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f50427756c0381:0x4c663d4552d57cb6!8m2!3d33.7874343!4d-84.355568!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEQc3VzaGlfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRMk1YTm1ObWRCUlJBQg
Top Spice Thai & Malaysian Cuisine	1529-F, Piedmont Ave NE, Atlanta, GA 30324	Thai	$$	4.1	https://www.google.com/maps/place/Top+Spice+Thai+%26+Malaysian+Cuisine/@33.7957003,-84.3795758,15z/data=!3m1!5s0x88f5043143bd7a7d:0xeee1d312f84c7eee!4m9!1m2!2m1!1sthai+restaurant!3m5!1s0x88f50431515429d5:0xdaa2b17d17e1f58f!8m2!3d33.7956697!4d-84.3688376!15sCg90aGFpIHJlc3RhdXJhbnRaESIPdGhhaSByZXN0YXVyYW50kgEPdGhhaV9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJaY205dWNISm5SUkFC
